Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Company,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total,Total,Receivables,Inventory,Cash & Bank,No. of Equity Shares,New Bonus Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:
2018-03-31 00:00:00,5462.8,,,28.9,442.0,3564.1,488.4,198.9,190.2,171.5,16.9,742.3,172.2,570.1,180.29,MINDTREE LTD,163.9,2577.5,301.4,693.7,3736.5,3736.5,956.8,9.2,726.4,2044.1,3736.5,3736.5,1015.5,,328.9,163926311.0,,10.0,564.4,-200.2,-287.5,76.7,771.95
2019-03-31 00:00:00,7021.5,,,30.2,636.3,4421.2,584.5,284.8,89.3,164.1,2.9,986.8,232.7,754.1,541.86,MINDTREE LTD,164.2,3141.9,1.0,871.9,4179.0,4179.0,966.9,29.7,803.6,2378.8,4179.0,4179.0,1335.6,,256.2,164214041.0,,10.0,630.5,-180.0,-522.1,-71.6,944.5
2020-03-31 00:00:00,7764.3,,,31.3,781.6,5064.7,516.4,288.8,75.6,275.4,52.9,828.8,197.9,630.9,213.98,MINDTREE LTD,164.6,2992.2,566.8,1433.0,5156.6,5156.6,1409.2,13.6,774.8,2959.0,5156.6,5156.6,1438.9,,587.0,164574066.0,,10.0,825.1,5.9,-696.0,135.0,828.7
2021-03-31 00:00:00,7967.8,,,16.8,756.9,5113.2,262.5,161.7,151.7,259.6,50.4,1498.4,387.9,1110.5,411.75,MINDTREE LTD,164.7,4154.3,537.7,1504.7,6361.4,6361.4,1275.8,22.4,2046.8,3016.4,6361.4,6361.4,1274.2,,759.7,164719766.0,,10.0,1996.0,-1204.7,-422.5,368.8,2083.9
2012-03-31 00:00:00,3182.02,,,23.73,251.31,1863.85,340.09,13.6,9.91,104.86,34.24,560.25,140.91,419.34,254.85,LARSEN & TOUBRO INFOTECH LTD,16.13,1089.24,268.84,715.1,2089.31,2089.31,632.21,107.57,59.05,1290.48,2089.31,2089.31,684.55,,132.11,32250000.0,,5.0,336.32,-97.12,-253.33,-14.13,
2013-03-31 00:00:00,3851.44,,,28.31,289.87,2249.04,390.54,23.49,22.4,123.17,20.81,748.61,186.95,561.61,303.24,LARSEN & TOUBRO INFOTECH LTD,16.13,1322.67,233.64,755.73,2328.17,2328.17,699.07,142.36,48.66,1438.08,2328.17,2328.17,741.05,,119.37,32250000.0,,5.0,607.65,-224.18,-396.21,-12.74,
2014-03-31 00:00:00,4920.5,,,30.95,480.69,2758.54,482.91,20.31,217.1,129.98,30.53,1203.69,207.22,996.41,551.65,LARSEN & TOUBRO INFOTECH LTD,16.13,1594.17,110.01,945.42,2665.73,2665.73,648.78,56.72,168.78,1791.45,2665.73,2665.73,930.99,,158.91,32250000.0,,5.0,627.86,180.33,-768.65,39.54,
2015-03-31 00:00:00,4978.04,,,29.03,483.4,2924.72,498.47,37.24,98.69,157.94,10.42,935.51,166.79,768.53,480.67,LARSEN & TOUBRO INFOTECH LTD,16.13,2010.22,217.53,734.17,2978.05,2978.05,683.43,25.18,103.55,2165.89,2978.05,2978.05,1090.12,,200.92,32250000.0,,5.0,642.25,-102.86,-497.38,42.01,
2016-03-31 00:00:00,5846.4,,,34.8,720.9,3527.3,475.5,60.4,187.0,174.0,5.8,1034.7,198.2,836.3,599.25,LARSEN & TOUBRO INFOTECH LTD,17.0,2107.5,54.6,958.3,3137.4,3137.4,637.6,19.5,42.9,2437.4,3137.4,3137.4,1166.1,,203.5,169816188.0,,1.0,858.5,-39.7,-816.9,1.9,
2017-03-31 00:00:00,6500.9,,,31.8,437.9,3715.3,943.5,142.2,186.7,177.9,3.2,1235.8,264.9,970.7,283.0,LARSEN & TOUBRO INFOTECH LTD,17.1,3127.2,,1273.0,4417.3,4417.3,541.9,1.3,940.6,2933.5,4417.3,4417.3,1169.7,,379.5,170571113.0,,1.0,1169.6,-960.9,-32.7,176.0,714.85
2018-03-31 00:00:00,7306.5,,,33.0,1000.5,4328.9,530.8,225.9,426.1,156.3,15.7,1441.5,329.1,1112.0,369.8,LARSEN & TOUBRO INFOTECH LTD,17.2,3842.6,,1476.8,5336.6,5336.6,680.6,6.8,1264.4,3384.8,5336.6,5336.6,1396.2,,363.3,171999263.0,,1.0,843.8,-452.4,-407.6,-16.2,1340.7
2019-03-31 00:00:00,9445.8,,,31.0,1231.6,5468.9,725.1,105.9,302.3,147.2,10.6,2027.8,512.3,1515.9,487.2,LARSEN & TOUBRO INFOTECH LTD,17.4,4876.4,,1769.8,6663.6,6663.6,929.9,11.5,1740.3,3981.9,6663.6,6663.6,1826.3,,415.0,173510084.0,,1.0,1395.1,-749.1,-594.3,51.7,1702.6
2020-03-31 00:00:00,10878.6,,,32.9,1494.2,6519.1,678.7,124.4,329.2,273.0,82.6,2002.9,482.4,1520.1,487.2,LARSEN & TOUBRO INFOTECH LTD,17.4,5386.6,911.9,2498.9,8814.8,8814.8,1919.7,59.2,2218.8,4617.1,8814.8,8814.8,2312.1,,525.2,174126769.0,,1.0,1643.5,-643.3,-890.0,110.2,1428.85
2021-03-31 00:00:00,12369.8,,,20.8,1654.7,7431.5,453.9,83.8,274.4,332.5,78.8,2588.2,650.0,1936.1,700.0,LARSEN & TOUBRO INFOTECH LTD,17.5,7285.9,798.3,2603.9,10705.6,10705.6,1906.0,66.2,3729.5,5003.9,10705.6,10705.6,2083.5,,759.4,174750608.0,,1.0,2399.6,-1656.6,-508.8,234.2,4054.3
2012-03-31 00:00:00,3013.61,1869.5,52.05,141.45,205.81,93.83,210.78,32.24,4.04,86.39,29.28,400.42,131.48,268.94,14.5,BALKRISHNA INDUSTRIES LTD,19.33,1090.75,1709.22,392.24,3211.54,3211.54,873.05,476.74,2.45,1859.3,3211.54,3211.54,490.03,498.54,369.84,96658595.0,,2.0,75.65,-687.73,969.67,357.59,131.21
2013-03-31 00:00:00,3390.38,1930.6,35.92,167.56,233.41,133.84,261.73,30.15,4.51,112.2,27.52,533.8,183.89,349.9,14.5,BALKRISHNA INDUSTRIES LTD,19.33,1423.67,2163.98,543.75,4150.73,4150.73,1335.33,1012.55,3.32,1799.53,4150.73,4150.73,519.67,456.74,277.97,96658595.0,,2.0,549.34,-1010.96,369.75,-91.87,137.27
2014-03-31 00:00:00,3768.27,1834.78,12.89,168.73,267.92,168.64,338.73,112.35,13.9,170.28,27.46,706.17,231.55,474.62,19.33,BALKRISHNA INDUSTRIES LTD,19.33,1875.75,2438.52,687.7,5021.3,5021.3,2389.0,564.86,370.19,1697.25,5021.3,5021.3,613.76,568.4,14.93,96658595.0,,2.0,601.67,-1229.61,364.9,-263.04,242.4
2015-03-31 00:00:00,3813.08,1962.87,-15.5,175.54,292.34,227.4,388.43,23.63,277.44,243.7,47.77,713.34,240.77,472.57,23.2,BALKRISHNA INDUSTRIES LTD,19.33,2256.65,2357.84,684.53,5318.35,5318.35,2415.39,634.04,444.06,1824.86,5318.35,5318.35,581.15,411.41,434.21,96658595.0,,2.0,984.13,-434.64,-130.22,419.27,323.0
2016-03-31 00:00:00,3236.58,1396.02,-23.17,118.54,252.15,235.03,320.64,25.19,130.58,282.32,39.85,674.25,228.53,445.72,53.16,BALKRISHNA INDUSTRIES LTD,19.33,2755.5,1898.3,725.27,5398.4,5398.4,2858.78,231.07,835.87,1472.68,5398.4,5398.4,384.95,398.26,329.96,96658595.0,,2.0,1071.95,-551.82,-625.28,-105.15,315.7
2017-03-31 00:00:00,3723.3,1585.06,5.43,129.8,237.31,256.98,348.5,40.11,253.63,304.0,22.0,1058.6,341.75,716.85,77.32,BALKRISHNA INDUSTRIES LTD,19.33,3523.53,1390.87,855.35,5789.08,5789.08,2848.73,109.67,1349.19,1481.49,5789.08,5789.08,411.67,476.12,24.81,96658595.0,,2.0,846.85,-563.21,-589.34,-305.7,693.08
2018-03-31 00:00:00,4443.79,2194.44,51.22,176.26,308.17,280.04,381.34,52.2,339.71,311.4,14.83,1116.04,380.25,735.79,154.64,BALKRISHNA INDUSTRIES LTD,38.66,4044.73,867.47,927.35,5878.21,5878.21,2849.14,118.66,1102.67,1807.74,5878.21,5878.21,479.63,618.87,33.43,193317190.0,96658595.0,2.0,749.94,-92.28,-653.8,3.86,1068.65
2019-03-31 00:00:00,5209.99,2503.67,59.55,186.87,362.82,299.3,557.77,52.88,215.38,332.61,12.44,1176.56,402.91,773.65,154.64,BALKRISHNA INDUSTRIES LTD,38.66,4615.0,871.14,954.21,6479.01,6479.01,2786.25,600.41,1082.55,2009.8,6479.01,6479.01,517.1,758.71,65.63,193317190.0,,2.0,820.41,-636.02,-164.68,19.71,995.5
2020-03-31 00:00:00,4811.24,2079.52,-59.23,164.26,287.36,328.74,572.91,45.28,249.98,373.61,10.79,1139.52,179.87,959.65,386.6,BALKRISHNA INDUSTRIES LTD,38.66,4969.62,932.0,866.07,6806.35,6806.35,3307.51,586.59,1062.5,1849.75,6806.35,6806.35,589.86,615.64,69.08,193317190.0,,2.0,1173.14,-677.8,-494.69,0.65,791.65
2021-03-31 00:00:00,5783.19,2455.04,144.0,173.78,384.85,371.14,682.86,48.03,171.49,416.3,11.76,1554.92,377.39,1177.53,328.61,BALKRISHNA INDUSTRIES LTD,38.66,5961.16,1001.12,1165.55,8166.49,8166.49,3370.32,855.52,1417.65,2523.0,8166.49,8166.49,753.59,939.72,77.97,193317190.0,,2.0,1339.03,-1172.87,-158.06,8.1,1688.5
2012-03-31 00:00:00,9231.25,5117.61,172.95,87.41,985.76,529.67,1855.87,-683.3,107.41,121.13,43.38,1454.08,433.5,988.73,383.68,ASIAN PAINTS LTD,95.92,2652.58,341.11,2622.58,5712.19,5712.19,1300.55,617.08,354.74,3439.82,5712.19,5712.19,781.25,1598.89,624.31,95919779.0,,10.0,709.98,-385.61,-326.58,-2.21,324.2
2013-03-31 00:00:00,10503.91,5636.23,149.56,114.71,1107.31,627.59,2273.91,-843.67,114.48,154.6,42.06,1655.21,495.69,1113.88,441.23,ASIAN PAINTS LTD,95.92,3288.37,250.96,3149.25,6784.5,6784.5,2440.97,59.21,295.68,3988.64,6784.5,6784.5,980.88,1830.29,736.69,95919779.0,,10.0,1186.79,-463.2,-601.0,122.59,491.73
2014-03-31 00:00:00,12220.37,6339.75,90.28,133.74,1292.18,763.59,2826.43,-1048.7,124.26,245.66,47.99,1834.27,571.51,1218.81,508.38,ASIAN PAINTS LTD,95.92,3943.3,249.15,3787.03,8075.4,8075.4,2561.58,71.6,1423.55,4018.67,8075.4,8075.4,1110.3,2069.86,229.0,959197800.0,,1.0,1402.03,-585.99,-625.91,190.13,547.95
2015-03-31 00:00:00,13615.26,8119.54,148.07,130.68,259.76,936.86,3370.79,-1297.19,142.14,265.92,42.24,2076.87,649.54,1395.15,585.11,ASIAN PAINTS LTD,95.92,4646.44,418.17,3753.97,8914.5,8914.5,2660.04,196.0,1587.79,4470.67,8914.5,8914.5,1182.07,2258.52,204.39,959197790.0,,1.0,1187.69,-464.99,-576.09,146.61,811.3
